出願番号,出願日,発明の名称,要約,請求の範囲,出願人,発明者,IPC,ステータス
特願2022-100149,2022/02/06,アルジロダイト型硫化物及びその製造方法,本発明は、アルジロダイト型硫化物に関する。従来技術では粒界での抵抗が大きいという課題があった。本発明では、微粒子化と加圧成形条件を制御することにより、室温で高いリチウムイオン伝導度を実現する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,アルジロダイト型硫化物を備え、微粒子化と加圧成形条件を制御することを特徴とする全固体電池。,九曜電子,森 浩二,H01B1/06,公開
特願2017-100195,2017/09/21,ペロブスカイト型酸化物電解質を用いた全固体電池,本発明は、ペロブスカイト型酸化物電解質に関する。従来技術では焼結温度が高くエネルギーコストが大きいという課題があった。本発明では、焼結助剤を添加して低温焼結を可能にすることにより、低温プロセスでの量産性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ペロブスカイト型酸化物電解質を備え、焼結助剤を添加して低温焼結を可能にすることを特徴とする全固体電池。,瀬戸内硝子,中村 裕子,H01B1/08;H01M10/0562,登録
特願2023-100463,2023/05/06,複合正極合材及びその製造方法,本発明は、複合正極合材に関する。従来技術では充放電に伴う体積変化で界面が剥離するという課題があった。本発明では、活物質表面に酸化物ナノ被覆層を形成することにより、電極内の利用率を向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,複合正極合材を備え、活物質表面に酸化物ナノ被覆層を形成することを特徴とする全固体電池。,白鳳電機産業,中村 望;伊藤 望,H01M10/0562,公開
特願2017-100442,2017/11/08,NCM系正極と固体電解質の複合体及びその製造方法,本発明は、NCM系正極と固体電解質の複合体に関する。従来技術では充放電に伴う体積変化で界面が剥離するという課題があった。本発明では、スラリー混練条件を制御し均一分散させることにより、電極内の利用率を向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,NCM系正極と固体電解質の複合体を備え、スラリー混練条件を制御し均一分散させることを特徴とする全固体電池。,みなと化学工業,佐藤 誠;中村 修平;木村 真一,H01M10/0562;H01M4/525,登録
特願2023-100445,2023/12/20,複合正極合材及びその製造方法,本発明は、複合正極合材に関する。従来技術では複合正極内のイオン伝導経路が不連続になるという課題があった。本発明では、導電助剤と電解質の配合比を最適化することにより、サイクル後の容量維持率を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,複合正極合材を備え、導電助剤と電解質の配合比を最適化することを特徴とする全固体電池。,暁化成,小林 拓也;加藤 望,H01M4/525;H01M4/62,公開
特願2022-100905,2022/09/17,ポリエチレンオキシド系ポリマー電解質及びその製造方法,本発明は、ポリエチレンオキシド系ポリマー電解質に関する。従来技術では機械的強度と柔軟性の両立が難しいという課題があった。本発明では、可塑剤と無機フィラーを複合化することにより、層間密着性を高め内部抵抗を低減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ポリエチレンオキシド系ポリマー電解質を備え、可塑剤と無機フィラーを複合化することを特徴とする全固体電池。,九曜電子,森 誠;伊藤 大輔,C08J5/22;H01B1/12,公開
特願2023-100649,2023/10/15,乾式電極成形プロセス及びその製造方法,本発明は、乾式電極成形プロセスに関する。従来技術では大面積化すると均一な加圧が難しいという課題があった。本発明では、ロールプレスの線圧条件を段階制御することにより、層間密着性を高め内部抵抗を低減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,乾式電極成形プロセスを備え、ロールプレスの線圧条件を段階制御することを特徴とする全固体電池。,白鳳電機産業,井上 大輔,H01M4/04,審査中
特願2023-100567,2023/04/08,無負極型集電体構造を用いた全固体電池,本発明は、無負極型集電体構造に関する。従来技術では負極と電解質の界面で副反応が進行するという課題があった。本発明では、集電体表面に親リチウム性シード層を設けることにより、デンドライト発生を抑制し安全性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,無負極型集電体構造を備え、集電体表面に親リチウム性シード層を設けることを特徴とする全固体電池。,九曜電子,佐藤 美咲;林 太郎;井上 亮,H01M10/052;H01M4/38,公開
特願2016-100117,2016/04/14,Li2S-P2S5系ガラスセラミックスを用いた全固体電池,本発明は、Li2S-P2S5系ガラスセラミックスに関する。従来技術では粒界での抵抗が大きいという課題があった。本発明では、微粒子化と加圧成形条件を制御することにより、充放電サイクル特性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li2S-P2S5系ガラスセラミックスを備え、微粒子化と加圧成形条件を制御することを特徴とする全固体電池。,蒼海自動車,田中 望;吉田 静香;清水 隆,C01B17/22;H01M10/0562,拒絶
特願2018-100843,2018/10/15,拘束圧付与機構を用いた全固体電池,本発明は、拘束圧付与機構に関する。従来技術ではセル拘束圧の維持と軽量化が両立しないという課題があった。本発明では、冷却流路をモジュール内に一体成形することにより、体積エネルギー密度を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,拘束圧付与機構を備え、冷却流路をモジュール内に一体成形することを特徴とする全固体電池。,汐留マテリアル,山本 花子;山本 望;田中 彩,H01M50/509,取下
